 G S
-0000.06 G S
-0000.06 G S
-0000.06 G S
-0000.07 G S
-0000.07 G S
-0000.08 G S
-0000.08 G S
-0000.09 G S
-0000.10 G S
-0000.10 G S
-0000.10 G S
-0000.10 G S
-0000.10 G S
-0000.10 G S
-0000.10 G S
-0000.10 G S
-0000.10 G S
-0000.11 G S
-0000.11 G S
-0000.11 G S
-0000.11 G S
-0000.11 G S
-0000.12 G S
-0000.12 G S
-0000.12 G S
-0000.12 G S
-0000.12 G S
-0000.12 G S
-0000.12 G S
-0000.13 G S
-0000.13 G S
-0000.13 G S
-0000.13 G S
-0000.13 G S
-0000.14 G S
-0000.14 G S
-0000.14 G S
-0000.14 G S
-0000.14 G S
-0000.14 G S
-0000.14 G S
-0000.14 G S
-0000.15 G S
-0000.15 G S
-0000.15 G S
-0000.15 G S
-0000.16 G S
-0000.16 G S
-0000.16 G S
-0000.17 G S
-0000.17 G S
-0000.17 G S
-0000.18 G S
-0000.18 G S
-0000.18 G S
-0000.18 G S
-0000.18 G S
-0000.18 G S
-0000.19 G S
-0000.19 G S
-0000.19 G S
-0000.19 G S
-0000.19 G S
-0000.19 G S
-0000.20 G S
-0000.19 G S
-0000.18 G U
-0000.17 G U
-0000.16 G U
-0000.15 G U
-0000.15 G U
-0000.16 G U
-0000.16 G S
-0000.17 G S
-0000.17 G S
-0000.17 G S
-0000.15 G U
-0000.14 G U
-0000.13 G U
-0000.12 G U
-0000.12 G U
-0000.12 G U
-0000.11 G U
-0000.10 G U
-0000.09 G U
-0000.04 G U
+0000.10 G U
+0000.35 G U
+0000.63 G U
+0000.87 G U
+0001.17 G U
+0001.47 G U
+0001.66 G U
+0001.70 G U
+0001.72 G U
+0001.78 G U
+0001.84 G U
+0001.88 G U
+0001.95 G U
+0002.05 G U
+0002.12 G U
+0002.18 G U
+0002.19 G U
+0002.17 G U
+0002.13 G U
+0002.09 G U
+0002.07 G U
+0002.06 G U
+0002.06 G U
+0002.05 G U
+0002.02 G U
+0002.01 G U
+0001.99 G U
+0001.95 G U
+0001.91 G U
+0001.89 G U
+0001.90 G U
+0001.90 G U
+0001.89 G U
+0001.88 G U
+0001.88 G U
+0001.85 G U
+0001.81 G U
+0001.75 G U
+0001.71 G U
+0001.66 G U
+0001.61 G U
+0001.57 G U
+0001.51 G U
+0001.47 G U
+0001.42 G U
+0001.37 G U
+0001.32 G U
+0001.28 G U
+0001.25 G U
+0001.21 G U
+0001.18 G U
+0001.15 G U
+0001.13 G U
+0001.10 G U
+0001.07 G U
+0001.03 G U
+0001.00 G U
+0000.96 G U
+0000.92 G U
+0000.87 G U
+0000.84 G U
+0000.80 G U
+0000.76 G U
+0000.72 G U
+0000.68 G U
+0000.65 G U
+0000.61 G U
+0000.58 G U
+0000.54 G U
+0000.51 G U
+0000.48 G U
+0000.45 G U
+0000.41 G U
+0000.38 G U
+0000.35 G U
+0000.32 G U
+0000.28 G U
+0000.24 G U
+0000.21 G U
+0000.18 G U
+0000.15 G U
+0000.12 G U
+0000.09 G U
+0000.06 G U
+0000.02 G U
-0000.01 G U
-0000.05 G U
-0000.09 G U
-0000.13 G U
-0000.17 G U
-0000.21 G U
-0000.24 G U
-0000.28 G U
-0000.32 G U
-0000.36 G U
-0000.39 G U
-0000.43 G U
-0000.46 G U
-0000.50 G U
-0000.53 G U
-0000.56 G U
-0000.58 G U
-0000.61 G U
-0000.64 G U
-0000.67 G U
-0000.70 G U
-0000.73 G U
-0000.76 G U
-0000.78 G U
-0000.81 G U
-0000.84 G U
-0000.87 G U
