 G S
-0000.04 G S
-0000.04 G S
-0000.04 G S
-0000.04 G S
-0000.04 G S
-0000.04 G S
-0000.05 G S
-0000.05 G S
-0000.06 G S
-0000.06 G S
-0000.07 G S
-0000.07 G S
-0000.07 G S
-0000.07 G S
-0000.07 G S
-0000.08 G S
-0000.08 G S
-0000.08 G S
-0000.09 G S
-0000.10 G U
-0000.10 G U
-0000.10 G U
-0000.10 G U
-0000.10 G S
-0000.11 G S
-0000.11 G S
-0000.11 G S
-0000.11 G S
-0000.11 G S
-0000.11 G S
-0000.11 G S
-0000.12 G S
-0000.12 G S
-0000.12 G S
-0000.14 G U
-0000.16 G U
-0000.16 G U
-0000.14 G U
-0000.13 G U
-0000.14 G U
-0000.14 G U
-0000.14 G U
-0000.15 G U
-0000.18 G U
-0000.19 G U
-0000.19 G U
-0000.18 G U
-0000.18 G U
-0000.18 G S
-0000.18 G S
-0000.18 G S
-0000.18 G S
-0000.19 G S
-0000.19 G S
-0000.21 G U
-0000.22 G U
-0000.22 G U
-0000.22 G U
-0000.22 G U
-0000.22 G S
-0000.22 G S
-0000.21 G S
-0000.21 G S
-0000.22 G S
-0000.23 G S
-0000.23 G S
-0000.24 G S
-0000.24 G S
-0000.25 G S
-0000.25 G S
-0000.25 G S
-0000.26 G S
-0000.26 G S
-0000.26 G S
-0000.26 G S
-0000.27 G S
-0000.27 G S
-0000.28 G S
-0000.28 G S
-0000.28 G S
-0000.29 G S
-0000.29 G S
-0000.29 G S
-0000.30 G S
-0000.30 G S
-0000.30 G S
-0000.30 G S
-0000.31 G S
-0000.31 G S
-0000.32 G S
-0000.32 G S
-0000.33 G S
-0000.33 G S
-0000.34 G S
-0000.34 G S
-0000.34 G S
-0000.34 G S
-0000.34 G S
-0000.35 G S
-0000.35 G S
-0000.35 G S
-0000.35 G S
-0000.36 G S
-0000.36 G S
-0000.36 G S
-0000.37 G S
-0000.37 G S
-0000.38 G S
-0000.38 G S
-0000.38 G S
-0000.38 G S
-0000.38 G S
-0000.38 G S
-0000.38 G S
-0000.39 G S
-0000.39 G S
-0000.39 G S
-0000.40 G S
-0000.40 G S
-0000.41 G S
-0000.41 G S
-0000.41 G S
-0000.41 G S
-0000.42 G S
-0000.43 G S
-0000.43 G S
-0000.44 G S
-0000.44 G S
-0000.45 G S
-0000.45 G S
-0000.45 G S
-0000.45 G S
-0000.45 G S
-0000.45 G S
-0000.45 G S
-0000.46 G S
-0000.46 G S
-0000.47 G S
-0000.47 G S
-0000.48 G S
-0000.48 G S
-0000.49 G S
-0000.49 G S
-0000.49 G S
-0000.50 G S
-0000.50 G S
-0000.50 G S
-0000.50 G S
-0000.51 G S
-0000.51 G S
-0000.51 G S
-0000.52 G S
-0000.52 G S
-0000.52 G S
-0000.52 G S
-0000.53 G S
-0000.53 G S
-0000.54 G S
-0000.54 G S
-0000.54 G S
-0000.54 G S
-0000.54 G S
-0000.54 G S
-0000.54 G S
-0000.54 G S
-0000.55 G S
-0000.55 G S
-0000.55 G S
-0000.55 G S
-0000.55 G S
-0000.56 G S
-0000.56 G S
-0000.57 G S
-0000.57 G S
-0000.57 G S
-0000.58 G S
-0000.58 G S
-0000.58 G S
-0000.59 G S
-0000.59 G S
-0000.59 G S
-0000.59 G S
-0000.60 G S
-0000.60 G S
-0000.60 G S
-0000.61 G S
-0000.61 G S
-0000.62 G S
-0000.62 G S
-0000.62 G S
-0000.63 G S
-0000.63 G S
-0000.63 G S
-0000.64 G S
-0000.64 G S
-0000.64 G S
-0000.64 G S
-0000.65 G S
-0000.65 G S
-0000.65 G S
-0000.66 G S
-0000.66 G S
-0000.66 G S
-0000.66 G S
-0000.67 G S
-0000.67 G S
-0000.67 G S
-0000.67 G S
-0000.67 G S
-0000.67 G S
-0000.67 G S
-0000.68 G S
-0000.68 G S
-0000.69 G S
-0000.69 G S
-0000.70 G S
-0000.70 G S
-0000.71 G S
-0000.71 G S
-0000.71 G S
-0000.72 G S
-0000.73 G S
-0000.73 G S
-0000.74 G S
-0000.74 G S
-0000.75 G S
-0000.75 G S
-0000.75 G S
-0000.76 G S
-0000.76 G S
-0000.77 G S
-0000.77 G S
-0000.77 G S
-0000.77 G S
-0000.78 G S
-0000.78 G S
-0000.79 G S
-0000.79 G S
-0000.80 G S
-0000.79 G S
-0000.77 G U
-0000.78 G U
-0000.78 G U
-0000.79 G U
-0000.79 G S
-0000.80 G U
-0000.83 G U
-0000.82 G U
-0000.82 G U
-0000.82 G U
-0000.82 G S
-0000.82 G S
-0000.82 G S
-0000.83 G S
-0000.83 G S
